         1691 function calls (1677 primitive calls) in 0.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.072    0.072 calc_pool.py:1(<module>)
        1    0.000    0.000    0.046    0.046 pool.py:136(__init__)
        1    0.000    0.000    0.032    0.032 pool.py:232(_setup_queues)
        2    0.000    0.000    0.029    0.014 queues.py:350(__init__)
        2    0.001    0.000    0.028    0.014 __init__.py:102(Pipe)
        2    0.002    0.001    0.028    0.014 connection.py:35(<module>)
        1    0.003    0.003    0.020    0.020 __init__.py:44(<module>)
        1    0.005    0.005    0.016    0.016 util.py:35(<module>)
        1    0.014    0.014    0.015    0.015 socket.py:45(<module>)
        1    0.001    0.001    0.011    0.011 tempfile.py:18(<module>)
        4    0.006    0.002    0.008    0.002 threading.py:309(wait)
        3    0.000    0.000    0.008    0.003 threading.py:726(start)
        1    0.001    0.001    0.007    0.007 random.py:40(<module>)
        3    0.000    0.000    0.007    0.002 threading.py:603(wait)
        1    0.002    0.002    0.006    0.006 subprocess.py:387(<module>)
        1    0.001    0.001    0.005    0.005 pool.py:210(_repopulate_pool)
        1    0.002    0.002    0.005    0.005 threading.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:91(__init__)
        1    0.000    0.000    0.004    0.004 random.py:100(seed)
        1    0.001    0.001    0.004    0.004 pickle.py:25(<module>)
        3    0.001    0.000    0.004    0.001 process.py:116(start)
        1    0.003    0.003    0.003    0.003 {function seed at 0x768bd4f0}
      119    0.001    0.000    0.003    0.000 re.py:230(_compile)
        1    0.001    0.001    0.003    0.003 pool.py:35(<module>)
        3    0.000    0.000    0.003    0.001 forking.py:116(__init__)
        1    0.001    0.001    0.003    0.003 io.py:34(<module>)
        1    0.001    0.001    0.002    0.002 queues.py:35(<module>)
        3    0.002    0.001    0.002    0.001 {posix.fork}
        3    0.000    0.000    0.002    0.001 sre_compile.py:567(compile)
      117    0.000    0.000    0.002    0.000 re.py:138(match)
       24    0.002    0.000    0.002    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.001    0.001    0.002    0.002 synchronize.py:36(<module>)
        1    0.001    0.001    0.002    0.002 hashlib.py:56(<module>)
        1    0.000    0.000    0.002    0.002 pool.py:246(map)
        1    0.000    0.000    0.002    0.002 warnings.py:46(filterwarnings)
        2    0.000    0.000    0.001    0.001 re.py:192(compile)
        1    0.000    0.000    0.001    0.001 pool.py:713(ThreadPool)
        3    0.000    0.000    0.001    0.000 sre_parse.py:686(parse)
        1    0.000    0.000    0.001    0.001 pool.py:551(get)
        1    0.000    0.000    0.001    0.001 pool.py:543(wait)
        1    0.001    0.001    0.001    0.001 process.py:35(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
        3    0.000    0.000    0.001    0.000 sre_parse.py:310(_parse_sub)
        3    0.001    0.000    0.001    0.000 sre_parse.py:388(_parse)
        4    0.000    0.000    0.001    0.000 threading.py:656(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:36(<module>)
        3    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
        8    0.000    0.000    0.001    0.000 abc.py:105(register)
        4    0.000    0.000    0.001    0.000 synchronize.py:146(__init__)
        3    0.001    0.000    0.001    0.000 process.py:94(__init__)
        4    0.000    0.000    0.001    0.000 synchronize.py:74(__init__)
        4    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       12    0.000    0.000    0.001    0.000 threading.py:242(Condition)
    28/17    0.000    0.000    0.001    0.000 {issubclass}
        8    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
