         33841 function calls (33739 primitive calls) in 80.793 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.035    0.035   80.802   80.802 mainprocess.py:1(<module>)
        1    0.004    0.004   79.643   79.643 extraction.py:515(get_all_fragments)
       21    1.212    0.058   79.587    3.790 extraction.py:277(get_fragment)
       21    0.017    0.001   40.753    1.941 __init__.py:227(Pool)
       21    0.200    0.010   40.730    1.940 pool.py:136(__init__)
       80    0.041    0.001   39.270    0.491 threading.py:309(wait)
      502   38.974    0.078   38.974    0.078 {method 'acquire' of 'thread.lock' objects}
       20    0.001    0.000   27.771    1.389 pool.py:246(map)
       20    0.000    0.000   27.184    1.359 pool.py:551(get)
       20    0.014    0.001   27.183    1.359 pool.py:543(wait)
       60    2.615    0.044   21.060    0.351 threading.py:726(start)
       21    0.042    0.002   17.894    0.852 pool.py:210(_repopulate_pool)
       81    0.057    0.001   17.792    0.220 process.py:116(start)
       81    0.513    0.006   17.547    0.217 forking.py:116(__init__)
        1    2.730    2.730   15.824   15.824 process.py:241(_bootstrap)
       60    0.207    0.003   12.618    0.210 threading.py:603(wait)
      137    0.038    0.000   10.844    0.079 extraction.py:619(get_singular_energy)
      137    0.962    0.007   10.310    0.075 extraction.py:80(get_second_singular)
      137    6.493    0.047    9.348    0.068 linalg.py:1225(svd)
        1    0.000    0.000    8.761    8.761 process.py:109(run)
        1    0.000    0.000    8.761    8.761 pool.py:88(worker)
        2    0.040    0.020    6.677    3.338 queues.py:373(get)
        2    6.636    3.318    6.636    3.318 {method 'recv' of '_multiprocessing.Connection' objects}
       60    5.827    0.097    5.827    0.097 {thread.start_new_thread}
        1    3.849    3.849    3.849    3.849 {method 'write' of 'file' objects}
      411    2.381    0.006    2.381    0.006 {method 'astype' of 'numpy.ndarray' objects}
      101    0.001    0.000    2.221    0.022 threading.py:300(_is_owned)
        6    0.037    0.006    1.809    0.301 {map}
        1    0.000    0.000    1.808    1.808 pool.py:64(mapstar)
       61    0.234    0.004    1.108    0.018 threading.py:656(__init__)
       81    0.842    0.010    0.907    0.011 {posix.fork}
        1    0.334    0.334    0.798    0.798 preprocessing.py:1(<module>)
       20    0.093    0.005    0.587    0.029 pool.py:298(map_async)
      137    0.197    0.001    0.496    0.004 extraction.py:72(get_total_energy_of_block)
        1    0.010    0.010    0.463    0.463 __init__.py:106(<module>)
       80    0.368    0.005    0.442    0.006 threading.py:294(_release_save)
      205    0.057    0.000    0.431    0.002 threading.py:242(Condition)
      327    0.390    0.001    0.397    0.001 threading.py:260(__init__)
       40    0.008    0.000    0.389    0.010 fromnumeric.py:2718(std)
       61    0.001    0.000    0.385    0.006 threading.py:542(Event)
       61    0.002    0.000    0.384    0.006 threading.py:561(__init__)
       40    0.003    0.000    0.381    0.010 _methods.py:119(_std)
       40    0.193    0.005    0.378    0.009 _methods.py:73(_var)
       21    0.003    0.000    0.363    0.017 pool.py:232(_setup_queues)
       42    0.003    0.000    0.356    0.008 queues.py:350(__init__)
      220    0.179    0.001    0.324    0.001 extraction.py:58(get_average_luminance_of_block)
       20    0.157    0.008    0.323    0.016 pool.py:580(__init__)
        2    0.051    0.025    0.309    0.155 random.py:100(seed)
      139    0.299    0.002    0.299    0.002 {method 'flatten' of 'numpy.ndarray' objects}
        3    0.037    0.012    0.291    0.097 __init__.py:1(<module>)
       60    0.287    0.005    0.287    0.005 threading.py:629(_newname)
        1    0.000    0.000    0.276    0.276 queues.py:387(put)
        3    0.274    0.091    0.274    0.091 {method 'acquire' of '_multiprocessing.SemLock' objects}
      301    0.2         15467 function calls (15365 primitive calls) in 80.597 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.035    0.035   80.558   80.558 mainprocess.py:1(<module>)
        1    0.001    0.001   79.399   79.399 extraction.py:515(get_all_fragments)
        4    0.005    0.001   79.346   19.837 extraction.py:277(get_fragment)
        4    0.002    0.000   79.117   19.779 __init__.py:227(Pool)
        4    0.003    0.001   79.109   19.777 pool.py:136(__init__)
        4    0.007    0.002   79.031   19.758 pool.py:210(_repopulate_pool)
       15    0.022    0.001   79.016    5.268 process.py:116(start)
       15    0.005    0.000   78.986    5.266 forking.py:116(__init__)
        1    0.285    0.285   78.841   78.841 process.py:241(_bootstrap)
        1    0.000    0.000   72.441   72.441 process.py:109(run)
        1    0.020    0.020   72.441   72.441 pool.py:88(worker)
        2    0.004    0.002   72.416   36.208 queues.py:373(get)
        3   72.393   24.131   72.393   24.131 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    6.016    6.016 traceback.py:225(print_exc)
        1    0.000    0.000    6.016    6.016 traceback.py:110(print_exception)
        9    6.013    0.668    6.013    0.668 {method 'write' of 'file' objects}
        8    0.000    0.000    6.011    0.751 traceback.py:12(_print)
        1    0.001    0.001    5.990    5.990 traceback.py:46(print_tb)
        1    0.334    0.334    0.798    0.798 preprocessing.py:1(<module>)
        1    0.010    0.010    0.463    0.463 __init__.py:106(<module>)
        3    0.037    0.012    0.291    0.097 __init__.py:1(<module>)
        1    0.002    0.002    0.226    0.226 add_newdocs.py:10(<module>)
       12    0.001    0.000    0.196    0.016 threading.py:309(wait)
       77    0.195    0.003    0.195    0.003 {method 'acquire' of 'thread.lock' objects}
        3    0.000    0.000    0.193    0.064 pool.py:246(map)
        3    0.000    0.000    0.191    0.064 pool.py:551(get)
        3    0.000    0.000    0.191    0.064 pool.py:543(wait)
        1    0.007    0.007    0.168    0.168 __init__.py:15(<module>)
        1    0.162    0.162    0.162    0.162 {imread}
       15    0.124    0.008    0.130    0.009 {posix.fork}
        1    0.002    0.002    0.113    0.113 type_check.py:3(<module>)
        1    0.000    0.000    0.095    0.095 util.py:294(_exit_function)
        2    0.033    0.017    0.095    0.047 util.py:250(_run_finalizers)
        1    0.004    0.004    0.073    0.073 preprocessing.py:86(get_contour)
       24    0.061    0.003    0.061    0.003 {method 'items' of 'dict' objects}
        4    0.001    0.000    0.057    0.014 pool.py:232(_setup_queues)
        8    0.000    0.000    0.052    0.006 queues.py:350(__init__)
        2    0.014    0.007    0.050    0.025 __init__.py:44(<module>)
        1    0.000    0.000    0.050    0.050 preprocessing.py:72(get_edged)
        1    0.047    0.047    0.047    0.047 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.047    0.047 extraction.py:103(basic_rotations)
      273    0.036    0.000    0.047    0.000 function_base.py:2945(add_newdoc)
        8    0.001    0.000    0.046    0.006 __init__.py:102(Pipe)
        2    0.005    0.003    0.044    0.022 connection.py:35(<module>)
        1    0.000    0.000    0.039    0.039 preprocessing.py:165(get_perspective)
        1    0.002    0.002    0.036    0.036 extraction.py:1(<module>)
        1    0.003    0.003    0.034    0.034 __init__.py:7(<module>)
        6    0.000    0.000    0.032    0.005 string.py:148(substitute)
        6    0.024    0.004    0.032    0.005 {method 'sub' of '_sre.SRE_Pattern' objects}
      132    0.002    0.000    0.029    0.000 re.py:230(_compile)
        1    0.022    0.022    0.029    0.029 polynomial.py:55(<module>)
        1    0.005    0.005    0.028    0.028 __init__.py:45(<module>)
        1    0.028    0.028    0.028    0.028 {adaptiveThreshold}
        1    0.017    0.01         25837 function calls (25735 primitive calls) in 80.595 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.035    0.035   80.562   80.562 mainprocess.py:1(<module>)
        1    0.002    0.002   79.403   79.403 extraction.py:515(get_all_fragments)
