         55031 function calls (53739 primitive calls) in 5.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.016    0.016    5.650    5.650 test_rb.py:2(<module>)
        1    2.796    2.796    2.796    2.796 {time.sleep}
        1    0.899    0.899    1.717    1.717 preprocessing.py:1(<module>)
        5    0.230    0.046    1.004    0.201 __init__.py:1(<module>)
        1    0.034    0.034    0.816    0.816 __init__.py:106(<module>)
        1    0.004    0.004    0.595    0.595 add_newdocs.py:10(<module>)
        2    0.027    0.013    0.469    0.234 __init__.py:8(<module>)
        1    0.014    0.014    0.423    0.423 type_check.py:3(<module>)
        1    0.019    0.019    0.384    0.384 __init__.py:60(<module>)
        1    0.007    0.007    0.345    0.345 extraction.py:1(<module>)
        1    0.013    0.013    0.332    0.332 __init__.py:9(<module>)
        1    0.008    0.008    0.295    0.295 pools.py:9(<module>)
        1    0.013    0.013    0.275    0.275 pp_helper.py:8(<module>)
        1    0.052    0.052    0.266    0.266 camera.py:30(<module>)
        2    0.025    0.013    0.239    0.120 __init__.py:44(<module>)
      148    0.004    0.000    0.225    0.002 re.py:230(_compile)
        1    0.004    0.004    0.224    0.224 camera.py:328(__init__)
       31    0.001    0.000    0.221    0.007 re.py:192(compile)
       27    0.002    0.000    0.220    0.008 sre_compile.py:567(compile)
        3    0.000    0.000    0.141    0.047 mmalobj.py:1464(connect)
        3    0.136    0.045    0.140    0.047 mmalobj.py:1264(__init__)
       27    0.001    0.000    0.132    0.005 sre_parse.py:686(parse)
        1    0.004    0.004    0.132    0.132 source.py:18(<module>)
        1    0.000    0.000    0.132    0.132 camera.py:2214(_set_resolution)
   119/27    0.005    0.000    0.130    0.005 sre_parse.py:310(_parse_sub)
   184/27    0.042    0.000    0.129    0.005 sre_parse.py:388(_parse)
        1    0.004    0.004    0.129    0.129 __init__.py:7(<module>)
        1    0.000    0.000    0.124    0.124 camera.py:490(_init_preview)
        1    0.000    0.000    0.124    0.124 renderers.py:509(__init__)
        1    0.015    0.015    0.118    0.118 fractions.py:4(<module>)
        5    0.000    0.000    0.112    0.022 mmalobj.py:535(<lambda>)
        5    0.112    0.022    0.112    0.022 mmalobj.py:523(_set_enabled)
        2    0.019    0.009    0.104    0.052 __init__.py:45(<module>)
        1    0.003    0.003    0.103    0.103 tokenize.py:23(<module>)
        1    0.011    0.011    0.100    0.100 exc.py:30(<module>)
       20    0.001    0.000    0.096    0.005 {map}
        1    0.035    0.035    0.089    0.089 mmal.py:34(<module>)
       27    0.001    0.000    0.085    0.003 sre_compile.py:552(_code)
        1    0.000    0.000    0.082    0.082 camera.py:1923(_enable_camera)
        1    0.011    0.011    0.075    0.075 _internal.py:6(<module>)
        1    0.006    0.006    0.073    0.073 decorators.py:15(<module>)
        1    0.005    0.005    0.069    0.069 decimal.py:116(<module>)
   400/27    0.028    0.000    0.067    0.002 sre_compile.py:64(_compile)
        1    0.011    0.011    0.067    0.067 utils.py:4(<module>)
