         502941 function calls (502559 primitive calls) in 31.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.045    0.045   31.787   31.787 test_rb.py:2(<module>)
       10    0.044    0.004   20.868    2.087 extraction.py:338(get_all_fragments)
     1200    1.314    0.001   20.165    0.017 extraction.py:265(get_fragment)
    12080    0.260    0.000   16.319    0.001 extraction.py:442(get_singular_energy)
    12080    8.041    0.001    8.314    0.001 extraction.py:60(get_total_energy_of_block)
    12080    0.377    0.000    7.745    0.001 extraction.py:68(get_second_singular)
       46    7.468    0.162    7.468    0.162 {time.sleep}
    12080    5.536    0.000    7.368    0.001 linalg.py:1225(svd)
       11    0.001    0.000    1.790    0.163 camera.py:1697(capture_continuous)
       10    0.000    0.000    1.588    0.159 encoders.py:837(wait)
       10    0.000    0.000    1.470    0.147 threading.py:603(wait)
       10    0.002    0.000    1.469    0.147 threading.py:309(wait)
    12080    0.279    0.000    1.307    0.000 extraction.py:46(get_average_luminance_of_block)
     2380    0.035    0.000    1.099    0.000 fromnumeric.py:2718(std)
     2380    0.114    0.000    1.064    0.000 _methods.py:119(_std)
    12080    0.172    0.000    1.028    0.000 fromnumeric.py:1621(sum)
     2380    0.473    0.000    0.930    0.000 _methods.py:73(_var)
    16850    0.914    0.000    0.914    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.346    0.346    0.816    0.816 preprocessing.py:1(<module>)
    12090    0.116    0.000    0.800    0.000 _methods.py:23(_sum)
       10    0.027    0.003    0.681    0.068 preprocessing.py:86(get_contour)
    36240    0.548    0.000    0.548    0.000 {method 'astype' of 'numpy.ndarray' objects}
       10    0.002    0.000    0.514    0.051 preprocessing.py:72(get_edged)
       10    0.003    0.000    0.513    0.051 extraction.py:91(basic_rotations)
       10    0.003    0.000    0.480    0.048 preprocessing.py:165(get_perspective)
        1    0.009    0.009    0.469    0.469 __init__.py:106(<module>)
    12080    0.229    0.000    0.425    0.000 linalg.py:139(_commonType)
    12080    0.131    0.000    0.382    0.000 linalg.py:106(_makearray)
       10    0.296    0.030    0.296    0.030 {adaptiveThreshold}
        4    0.039    0.010    0.294    0.074 __init__.py:1(<module>)
       30    0.274    0.009    0.274    0.009 {warpAffine}
    12100    0.273    0.000    0.273    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       20    0.265    0.013    0.265    0.013 {imwrite}
        1    0.009    0.009    0.265    0.265 __init__.py:59(<module>)
    19348    0.261    0.000    0.261    0.000 {numpy.core.multiarray.array}
       80    0.234    0.003    0.234    0.003 {flip}
       30    0.230    0.008    0.230    0.008 {resize}
        2    0.225    0.113    0.229    0.114 camera.py:722(_enable_camera)
        1    0.002    0.002    0.228    0.228 add_newdocs.py:10(<module>)
    12120    0.099    0.000    0.219    0.000 numeric.py:392(asarray)
       10    0.002    0.000    0.208    0.021 preprocessing.py:11(__init__)
       10    0.000    0.000    0.187    0.019 encoders.py:1581(start)
       10    0.103    0.010    0.186    0.019 encoders.py:806(start)
        1    0.012    0.012    0.186    0.186 camera.py:63(<module>)
       10    0.185    0.019    0.185    0.019 {warpPerspective}
        1    0.002    0.002    0.179    0.179 camera.py:429(__init__)
    24160    0.123    0.000    0.171    0.000 linalg.py:124(_realType)
        1    0.008    0.008    0.169    0.169 __init__.py:15(<module>)
    24160    0.098    0.000    0.165    0.000 linalg.py:111(isComplexType)
        1    0.000    0.000    0.157    0.157 camera.py:2158(_set_framerate)
        1    0.000    0.000    0.154    0.154 camera.py:2269(_set_resolution)
41078/41057    0.130    0.000    0.133    0.000 {issubclass}
       11    0.013    0.001    0.119    0.011 encoders.py:856(stop)
        1    0.001    0.001    0.114    0.114 type_check.py:3(<module>)
       20    0.001    0.000    0.112    0.006 preprocessing.py:258(get_blurred)
       20    0.112    0.006    0.112    0.006 {GaussianBlur}
        1    0.109    0.109    0.109    0.109 camera.py:509(_init_camera)
    23074    0.102    0.000    0.103    0.000 {isinstance}
    12080    0.080    0.000    0.098    0.000 linalg.py:198(_assertRankAtLeast2)
       10    0.097    0.010    0.097    0.010 {dilate}
    12080    0.095    0.000    0.095    0.000 linalg.py:101(get_linalg_error_extobj)
     4760    0.040    0.000    0.090    0.000 numeric.py:462(asanyarray)
        1    0.013    0.013    0.084    0.084 mimetypes.py:24(<module>)
       10    0.081    0.008    0.081    0.008 camera.py:734(_start_capture)
      139    0.003    0.000    0.080    0.001 re.py:230(_compile)
        2    0.078    0.039    0.078    0.039 camera.py:711(_disable_camera)
       22    0.000    0.000    0.078    0.004 re.py:192(compile)
       20    0.001    0.000    0.077    0.004 sre_compile.py:567(compile)
        1    0.005    0.005    0.071    0.071 fractions.py:4(<module>)
        1    0.008    0.008    0.071    0.071 urllib.py:23(<module>)
       11    0.000    0.000    0.069    0.006 encoders.py:777(_close_output)
       10    0.069    0.007    0.069    0.007 {findContours}
       10    0.001    0.000    0.069    0.007 array.py:283(flush)
     2380    0.050    0.000    0.069    0.000 _methods.py:39(_count_reduce_items)
        1    0.005    0.005    0.069    0.069 exc.py:79(<module>)
       10    0.066    0.007    0.066    0.007 {method 'getvalue' of '_io.BytesIO' objects}
    12080    0.065    0.000    0.065    0.000 linalg.py:219(_assertNoEmpty2d)
        1    0.031    0.031    0.063    0.063 mmal.py:34(<module>)
       20    0.001    0.000    0.051    0.003 sre_parse.py:686(parse)
        2    0.013    0.007    0.051    0.025 __init__.py:44(<module>)
    60/20    0.001    0.000    0.050    0.002 sre_parse.py:310(_parse_sub)
    66/20    0.014    0.000    0.049    0.002 sre_parse.py:388(_parse)
       10    0.043    0.004    0.049    0.005 extraction.py:73(get_blocks)
    24278    0.048    0.000    0.048    0.000 {method 'get' of 'dict' objects}
        1    0.006    0.006    0.048    0.048 decimal.py:116(<module>)
      273    0.036    0.000    0.048    0.000 function_base.py:2945(add_newdoc)
     1250    0.047    0.000    0.047    0.000 {numpy.core.multiarray.zeros}
       20    0.001    0.000    0.042    0.002 preprocessing.py:64(gray_image)
       20    0.042    0.002    0.042    0.002 {cvtColor}
    24160    0.039    0.000    0.039    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.038    0.013 mimetypes.py:327(add_type)
        1    0.000    0.000    0.038    0.038 mimetypes.py:344(init)
    12946    0.037    0.000    0.037    0.000 {getattr}
       10    0.035    0.003    0.035    0.004 camera.py:747(_stop_capture)
        1    0.000    0.000    0.034    0.034 mimetypes.py:194(read)
     1273    0.034    0.000    0.034    0.000 {approxPolyDP}
        1    0.016    0.016    0.034    0.034 mimetypes.py:205(readfp)
        1    0.003    0.003    0.034    0.034 __init__.py:7(<module>)
        9    0.025    0.003    0.034    0.004 collections.py:288(namedtuple)
        4    0.032    0.008    0.032    0.008 camera.py:680(_connect_ports)
        6    0.000    0.000    0.032    0.005 string.py:148(substitute)
        6    0.024    0.004    0.032    0.005 {method 'sub' of '_sre.SRE_Pattern' objects}
       10    0.031    0.003    0.031    0.003 {threshold}
        1    0.011    0.011    0.030    0.030 __init__.py:38(<module>)
        1    0.022    0.022    0.029    0.029 polynomial.py:55(<module>)
        1    0.005    0.005    0.029    0.029 __init__.py:45(<module>)
       10    0.021    0.002    0.028    0.003 extraction.py:446(get_signature)
        1    0.017    0.017    0.027    0.027 numeric.py:1(<module>)
        1    0.021    0.021    0.027    0.027 hermite.py:59(<module>)
        1    0.020    0.020    0.027    0.027 legendre.py:83(<module>)
        1    0.020    0.020    0.026    0.026 chebyshev.py:87(<module>)
        1    0.020    0.020    0.026    0.026 laguerre.py:59(<module>)
        1    0.020    0.020    0.026    0.026 hermite_e.py:59(<module>)
        1    0.008    0.008    0.026    0.026 util.py:35(<module>)
        1    0.024    0.024    0.026    0.026 socket.py:45(<module>)
17682/17618    0.025    0.000    0.025    0.000 {len}
       20    0.000    0.000    0.024    0.001 sre_compile.py:552(_code)
     1631    0.007    0.000    0.024    0.000 sre_parse.py:210(get)
        1    0.000    0.000    0.023    0.023 camera.py:978(start_preview)
     2486    0.022    0.000    0.022    0.000 {contourArea}
       10    0.002    0.000    0.021    0.002 preprocessing.py:200(get_scaled)
        1    0.001    0.001    0.020    0.020 polynomial.py:4(<module>)
        1    0.000    0.000    0.019    0.019 renderers.py:604(__init__)
     1799    0.014    0.000    0.018    0.000 sre_parse.py:191(__next)
       30    0.018    0.001    0.018    0.001 {method 'copy' of 'numpy.ndarray' objects}
   127/20    0.008    0.000    0.018    0.001 sre_compile.py:64(_compile)
     3398    0.018    0.000    0.018    0.000 {range}
     4765    0.018    0.000    0.018    0.000 {hasattr}
        1    0.004    0.004    0.017    0.017 index_tricks.py:1(<module>)
        1    0.008    0.008    0.017    0.017 core.py:21(<module>)
        1    0.002    0.002    0.016    0.016 urlparse.py:29(<module>)
        1    0.003    0.003    0.015    0.015 ctypeslib.py:51(<module>)
        1    0.005    0.005    0.015    0.015 npyio.py:1(<module>)
        1    0.001    0.001    0.014    0.014 camera.py:652(_init_splitter)
     2414    0.014    0.000    0.014    0.000 {max}
        1    0.002    0.002    0.014    0.014 ssl.py:88(<module>)
        1    0.005    0.005    0.013    0.013 subprocess.py:387(<module>)
        1    0.001    0.001    0.013    0.013 _internal.py:6(<module>)
      259    0.010    0.000    0.013    0.000 {sum}
     1263    0.013    0.000    0.013    0.000 {arcLength}
       10    0.003    0.000    0.012    0.001 preprocessing.py:127(order_contour)
       30    0.003    0.000    0.012    0.000 matching.py:21(signature_rejection)
     7646    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
        1    0.008    0.008    0.011    0.011 __init__.py:4(<module>)
        1    0.000    0.000    0.011    0.011 camera.py:860(_get_image_encoder)
        1    0.000    0.000    0.011    0.011 encoders.py:1565(__init__)
        1    0.000    0.000    0.011    0.011 encoders.py:932(__init__)
        1    0.005    0.005    0.011    0.011 case.py:1(<module>)
        1    0.000    0.000    0.011    0.011 encoders.py:499(__init__)
      169    0.011    0.000    0.011    0.000 {_ctypes.POINTER}
        1    0.007    0.007    0.010    0.010 __init__.py:88(<module>)
      684    0.007    0.000    0.009    0.000 mimetypes.py:78(add_type)
        1    0.002    0.002    0.009    0.009 numerictypes.py:82(<module>)
        1    0.000    0.000    0.009    0.009 camera.py:622(_init_defaults)
        1    0.005    0.005    0.009    0.009 renderers.py:122(__init__)
       10    0.001    0.000    0.009    0.001 array.py:207(truncate)
        1    0.008    0.008    0.009    0.009 linalg.py:10(<module>)
       17    0.002    0.000    0.008    0.000 abc.py:86(__new__)
        3    0.001    0.000    0.008    0.003 __init__.py:349(__init__)
        2    0.004    0.002    0.008    0.004 function_base.py:1(<module>)
      666    0.006    0.000    0.008    0.000 string.py:158(convert)
        4    0.000    0.000    0.008    0.002 warnings.py:46(filterwarnings)
        1    0.003    0.003    0.008    0.008 pickle.py:25(<module>)
        1    0.002    0.002    0.008    0.008 encoders.py:160(<module>)
       10    0.007    0.001    0.007    0.001 {function truncate at 0x712119f0}
        3    0.007    0.002    0.007    0.002 {_ctypes.dlopen}
       40    0.006    0.000    0.007    0.000 preprocessing.py:161(distance_calculator)
     4760    0.006    0.000    0.006    0.000 {method 'append' of 'bitarray._bitarray' objects}
        1    0.002    0.002    0.006    0.006 result.py:1(<module>)
        1    0.000    0.000    0.006    0.006 encoders.py:990(_create_connections)
       20    0.001    0.000    0.006    0.000 sre_compile.py:433(_compile_info)
        1    0.001    0.001    0.006    0.006 format.py:136(<module>)
        1    0.001    0.001    0.006    0.006 difflib.py:27(<module>)
        1    0.000    0.000    0.006    0.006 camera.py:672(_init_preview)
        1    0.001    0.001    0.006    0.006 renderers.py:635(__init__)
       20    0.004    0.000    0.006    0.000 function_base.py:3112(delete)
       88    0.001    0.000    0.005    0.000 __init__.py:375(__getattr__)
        1    0.002    0.002    0.005    0.005 color.py:90(<module>)
       40    0.001    0.000    0.005    0.000 core.py:109(get_object_signature)
        3    0.005    0.002    0.005    0.002 camera.py:693(_reconfigure_splitter)
       42    0.001    0.000    0.005    0.000 sre_compile.py:228(_compile_charset)
      109    0.001    0.000    0.005    0.000 mmal.py:73(MMAL_FOURCC)
        1    0.002    0.002    0.005    0.005 io.py:34(<module>)
        1    0.002    0.002    0.005    0.005 threading.py:1(<module>)
   175/76    0.004    0.000    0.005    0.000 sre_parse.py:149(getwidth)
      485    0.004    0.000    0.005    0.000 urlparse.py:332(<genexpr>)
        1    0.001    0.001    0.005    0.005 __init__.py:3(<module>)
      485    0.004    0.000    0.005    0.000 urllib.py:1212(<genexpr>)
       23    0.000    0.000    0.005    0.000 core.py:5992(__init__)
        1    0.003    0.003    0.005    0.005 collections.py:1(<module>)
      480    0.003    0.000    0.005    0.000 sre_parse.py:139(__getitem__)
        1    0.000    0.000    0.004    0.004 numbers.py:6(<module>)
       10    0.000    0.000    0.004    0.000 extraction.py:12(__init__)
       23    0.001    0.000    0.004    0.000 core.py:5997(getdoc)
      117    0.001    0.000    0.004    0.000 re.py:138(match)
        2    0.004    0.002    0.004    0.002 camera.py:2088(_set_camera_mode)
       42    0.002    0.000    0.004    0.000 sre_compile.py:256(_optimize_charset)
        1    0.001    0.001    0.004    0.004 encoders.py:965(_create_resizer)
        1    0.000    0.000    0.004    0.004 util.py:1(<module>)
       88    0.003    0.000    0.004    0.000 __init__.py:382(__getitem__)
      834    0.004    0.000    0.004    0.000 {method 'readline' of 'file' objects}
        2    0.003    0.002    0.004    0.002 __init__.py:10(<module>)
        1    0.004    0.004    0.004    0.004 renderers.py:654(close)
        1    0.001    0.001    0.004    0.004 loader.py:1(<module>)
        1    0.003    0.003    0.004    0.004 encoders.py:529(_create_resizer)
        1    0.003    0.003    0.003    0.003 arrayprint.py:5(<module>)
        1    0.001    0.001    0.003    0.003 utils.py:1(<module>)
        1    0.002    0.002    0.003    0.003 defmatrix.py:1(<module>)
        1    0.003    0.003    0.003    0.003 camera.py:2988(_set_exposure_compensation)
      841    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.003    0.003 mimetypes.py:64(__init__)
       13    0.000    0.000    0.003    0.000 abc.py:105(register)
     1736    0.003    0.000    0.003    0.000 {chr}
    19/14    0.001    0.000    0.003    0.000 abc.py:148(__subclasscheck__)
      545    0.002    0.000    0.003    0.000 mmal.py:74(<genexpr>)
       49    0.001    0.000    0.003    0.000 {all}
      398    0.001    0.000    0.003    0.000 sre_parse.py:204(match)
       12    0.003    0.000    0.003    0.000 {open}
        3    0.003    0.001    0.003    0.001 renderers.py:473(_set_transform)
        1    0.001    0.001    0.003    0.003 process.py:35(<module>)
        1    0.001    0.001    0.003    0.003 numerictypes.py:304(_add_aliases)
        1    0.002    0.002    0.003    0.003 _datasource.py:33(<module>)
       10    0.003    0.000    0.003    0.000 {getPerspectiveTransform}
        1    0.001    0.001    0.003    0.003 main.py:1(<module>)
        4    0.001    0.000    0.003    0.001 ssl.py:111(_import_symbols)
        1    0.001    0.001    0.003    0.003 extraction.py:1(<module>)
       10    0.001    0.000    0.003    0.000 array.py:166(bytes_to_rgb)
        1    0.002    0.002    0.002    0.002 encoders.py:883(close)
       27    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x2d4c48}
      280    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
       31    0.001    0.000    0.002    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.002    0.002 renderers.py:382(_set_rotation)
        1    0.001    0.001    0.002    0.002 camera.py:220(PiCamera)
       40    0.001    0.000    0.002    0.000 _inspect.py:120(getargspec)
       66    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.002    0.002 extras.py:10(<module>)
