         11571 function calls (11450 primitive calls) in 1.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    1.669    1.669 mainprocess.py:1(<module>)
        1    0.731    0.731    1.664    1.664 preprocessing.py:1(<module>)
        3    0.245    0.082    1.187    0.396 __init__.py:1(<module>)
        1    0.039    0.039    0.924    0.924 __init__.py:106(<module>)
        1    0.003    0.003    0.685    0.685 add_newdocs.py:10(<module>)
        1    0.012    0.012    0.519    0.519 type_check.py:3(<module>)
        1    0.013    0.013    0.139    0.139 __init__.py:7(<module>)
        1    0.020    0.020    0.123    0.123 _internal.py:6(<module>)
        2    0.020    0.010    0.106    0.053 __init__.py:45(<module>)
        1    0.011    0.011    0.070    0.070 utils.py:4(<module>)
        1    0.055    0.055    0.062    0.062 __init__.py:88(<module>)
        1    0.032    0.032    0.062    0.062 __init__.py:15(<module>)
        1    0.002    0.002    0.055    0.055 polynomial.py:4(<module>)
        1    0.030    0.030    0.054    0.054 __init__.py:41(<module>)
        1    0.007    0.007    0.049    0.049 tempfile.py:18(<module>)
        1    0.016    0.016    0.048    0.048 numerictypes.py:82(<module>)
        1    0.042    0.042    0.043    0.043 linalg.py:10(<module>)
        1    0.015    0.015    0.041    0.041 numeric.py:1(<module>)
        1    0.004    0.004    0.038    0.038 random.py:40(<module>)
        1    0.015    0.015    0.036    0.036 index_tricks.py:1(<module>)
       17    0.000    0.000    0.033    0.002 re.py:192(compile)
        1    0.023    0.023    0.033    0.033 __init__.py:4(<module>)
       17    0.001    0.000    0.033    0.002 re.py:230(_compile)
       13    0.001    0.000    0.032    0.002 sre_compile.py:567(compile)
        1    0.026    0.026    0.026    0.026 hashlib.py:56(<module>)
        1    0.006    0.006    0.023    0.023 polynomial.py:55(<module>)
        1    0.005    0.005    0.022    0.022 core.py:21(<module>)
       13    0.001    0.000    0.018    0.001 sre_parse.py:686(parse)
        1    0.012    0.012    0.018    0.018 case.py:1(<module>)
      272    0.006    0.000    0.017    0.000 function_base.py:3511(add_newdoc)
    19/13    0.000    0.000    0.017    0.001 sre_parse.py:310(_parse_sub)
    19/13    0.007    0.000    0.016    0.001 sre_parse.py:388(_parse)
        1    0.013    0.013    0.015    0.015 npyio.py:1(<module>)
       16    0.004    0.000    0.014    0.001 abc.py:86(__new__)
        1    0.007    0.007    0.013    0.013 result.py:1(<module>)
       23    0.000    0.000    0.013    0.001 core.py:6262(__init__)
        1    0.012    0.012    0.013    0.013 numerictypes.py:451(_set_array_types)
       13    0.000    0.000    0.013    0.001 sre_compile.py:552(_code)
       23    0.001    0.000    0.013    0.001 core.py:6267(getdoc)
        1    0.010    0.010    0.012    0.012 arrayprint.py:5(<module>)
       40    0.001    0.000    0.012    0.000 core.py:105(get_object_signature)
        2    0.008    0.004    0.012    0.006 function_base.py:1(<module>)
        1    0.010    0.010    0.012    0.012 collections.py:1(<module>)
       38    0.011    0.000    0.011    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.011    0.011 polynomial.py:1493(Polynomial)
        1    0.010    0.010    0.010    0.010 {setUseOptimized}
     1297    0.009    0.000    0.010    0.000 {getattr}
    40/13    0.004    0.000    0.009    0.001 sre_compile.py:64(_compile)
       40    0.007    0.000    0.009    0.000 _inspect.py:98(getargspec)
        1    0.001    0.001    0.008    0.008 contextlib.py:1(<module>)
